中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名,TCMSP靶点Gene Symbol,TCMSP靶点名称,target_ID,DrugBank内部ID,SVM_score,RF_score,边平均分,TCMSP靶点UniProt标准Gene Symbol,TCMSP靶点UniProt编号
凌霄花,Lingxiaohua,Campsis Flos,活血祛瘀药,isobutyric acid,MOL010784,10784,1002,,KYNU,Kynureninase,148,435,0.810687,0.708,0.7593435,,
桑叶,Sangye,Mori Follum,辛凉解表药,isobutyric acid,MOL010784,10784,1002,,BCHE,Cholinesterase,559,3923,0.914192,0.776,0.845096,,
桑叶,Sangye,Mori Follum,辛凉解表药,isobutyric acid,MOL010784,10784,1002,,KYNU,Kynureninase,148,435,0.810687,0.708,0.7593435,,
牛蒡子,Niubangzi,Fructus Arctii,辛凉解表药,isobutyric acid,MOL010784,10784,1002,,BCHE,Cholinesterase,559,3923,0.914192,0.776,0.845096,,
牛蒡子,Niubangzi,Fructus Arctii,辛凉解表药,isobutyric acid,MOL010784,10784,1002,,KYNU,Kynureninase,148,435,0.810687,0.708,0.7593435,,
麻黄,Mahuang,Ephedra Herba,辛温解表药,isobutyric acid,MOL010784,10784,1002,,BCHE,Cholinesterase,559,3923,0.914192,0.776,0.845096,,
麻黄,Mahuang,Ephedra Herba,辛温解表药,isobutyric acid,MOL010784,10784,1002,,KYNU,Kynureninase,148,435,0.810687,0.708,0.7593435,,
木香,Muxiang,Aucklandiae Radix,理气药,"2,4-Hexadiene, 3,4-dimethyl-, (E,Z)-",MOL010815,10815,3188,,BCHE,Cholinesterase,559,3923,0.925586,0.714,0.819793,,
木香,Muxiang,Aucklandiae Radix,理气药,ETA,MOL010823,10823,4105,,BCHE,Cholinesterase,559,3923,0.814134,0.714,0.764067,,
麦芽,Maiya,Hordei Fructus Germinatus,消食药,EG,MOL010847,10847,3671,,BCHE,Cholinesterase,559,3923,0.844823,0.746,0.7954115,,
麦芽,Maiya,Hordei Fructus Germinatus,消食药,D-Prolin,MOL010854,10854,1602,,BCHE,Cholinesterase,559,3923,0.913859,0.704,0.8089295,,
麦芽,Maiya,Hordei Fructus Germinatus,消食药,Sucol B,MOL010855,10855,4073,,BCHE,Cholinesterase,559,3923,0.829328,0.706,0.767664,,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,"2,4-Dimethylpentan-2-ol",MOL010979,10979,376,,BCHE,Cholinesterase,559,3923,0.998625,0.76,0.8793125,,
佛手,Foshou,Citri Sarcodactylis Fructus,理气药,"2,3-Butanediol, meso-",MOL011087,11087,784,,BCHE,Cholinesterase,559,3923,0.97911,0.776,0.877555,,
华山参,Huashanshen,Physochlainae Radix,止咳平喘药,"2,3-Butanediol, meso-",MOL011087,11087,784,,BCHE,Cholinesterase,559,3923,0.97911,0.776,0.877555,,
银杏叶,Yinxingye,Ginkgo Folium,止咳平喘药,3-Ethylhexane,MOL011562,11562,2850,,BCHE,Cholinesterase,559,3923,0.967473,0.702,0.8347365,,
桑叶,Sangye,Mori Follum,辛凉解表药,HBR,MOL011564,11564,1459,,BCHE,Cholinesterase,559,3923,0.897785,0.782,0.8398925,,
荔枝核,Lizhihe,Litchi Semen,理气药,HBR,MOL011564,11564,1459,,BCHE,Cholinesterase,559,3923,0.897785,0.782,0.8398925,,
银杏叶,Yinxingye,Ginkgo Folium,止咳平喘药,HBR,MOL011564,11564,1459,,BCHE,Cholinesterase,559,3923,0.897785,0.782,0.8398925,,
银杏叶,Yinxingye,Ginkgo Folium,止咳平喘药,Allo-L-isoleucine,MOL011595,11595,1611,,BCHE,Cholinesterase,559,3923,0.874015,0.718,0.7960075,,
葱白,Congbai,Allii Fistulost Bulbus,辛温解表药,"Methylamine,N-(1-ethylpentylidene)",MOL011633,11633,3428,,BCHE,Cholinesterase,559,3923,0.91354,0.704,0.80877,,
葱白,Congbai,Allii Fistulost Bulbus,辛温解表药,"2,2,4-Trimethylpentanol",MOL011647,11647,3991,,BCHE,Cholinesterase,559,3923,0.811081,0.738,0.7745405,,
葱白,Congbai,Allii Fistulost Bulbus,辛温解表药,"2,4-Dimethylpent-2-ene",MOL011656,11656,2611,,BCHE,Cholinesterase,559,3923,0.972974,0.72,0.846487,,
葱白,Congbai,Allii Fistulost Bulbus,辛温解表药,"3-Pentanol,2,3-dimethyl-",MOL011661,11661,669,,BCHE,Cholinesterase,559,3923,0.992237,0.742,0.8671185,,
芫荽,Yuansui,Coriandri Sativi Herba,辛温解表药,1-Vinylcyclohexanol,MOL011669,11669,3118,,BCHE,Cholinesterase,559,3923,0.945261,0.702,0.8236305,,
葱白,Congbai,Allii Fistulost Bulbus,辛温解表药,1-Vinylcyclohexanol,MOL011669,11669,3118,,BCHE,Cholinesterase,559,3923,0.945261,0.702,0.8236305,,
紫苏,Zisu,Perilla Frutescens,辛温解表药,7-octen-4-ol,MOL011756,11756,3951,,BCHE,Cholinesterase,559,3923,0.847723,0.708,0.7778615,,
防风,Fangfeng,Saposhnikoviae Radix,辛温解表药,7-octen-4-ol,MOL011756,11756,3951,,BCHE,Cholinesterase,559,3923,0.847723,0.708,0.7778615,,
鼠曲草,Shuqucao,Gnaphalii Affinis Herba,化痰药,7-octen-4-ol,MOL011756,11756,3951,,BCHE,Cholinesterase,559,3923,0.847723,0.708,0.7778615,,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,Methyl isovalerate,MOL011794,11794,2791,,BCHE,Cholinesterase,559,3923,0.929904,0.746,0.837952,,
葛花,Gehua,Puerariae Flos,辛凉解表药,Methyl isovalerate,MOL011794,11794,2791,,BCHE,Cholinesterase,559,3923,0.929904,0.746,0.837952,,
荆芥,Jingjie,Schizonepetae Herba,辛温解表药,"(1R,2R,3S)-3-methylcyclopentane-1,2-diol",MOL011839,11839,3433,,BCHE,Cholinesterase,559,3923,0.913075,0.704,0.8085375,,
禹州漏芦,Yuzhouloulu,Echinopsis Radix,拔毒化腐生肌药,()-Menthone,MOL011872,11872,173,,BCHE,Cholinesterase,559,3923,0.93958,0.702,0.82079,,
荆芥,Jingjie,Schizonepetae Herba,辛温解表药,()-Menthone,MOL011872,11872,173,,BCHE,Cholinesterase,559,3923,0.93958,0.702,0.82079,,
荆芥穗,Jingjiesui,Schizonepetae Spica,辛温解表药,()-Menthone,MOL011872,11872,173,,BCHE,Cholinesterase,559,3923,0.93958,0.702,0.82079,,
麻黄,Mahuang,Ephedra Herba,辛温解表药,()-Menthone,MOL011872,11872,173,,BCHE,Cholinesterase,559,3923,0.93958,0.702,0.82079,,
