中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,caryophyllenyl alcohol,MOL010948,10948,877,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,Methylsyringol,MOL010951,10951,3505,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,"decahydro-2,2,4,8-tetramethyl-4,8-methano-azulen-9-ol",MOL010955,10955,1772,
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,(Z)-Ethyl cinnamate,MOL010957,10957,2618,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,(Z)-Ethyl cinnamate,MOL010957,10957,2618,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,"1H-benzocycloheptene,2,4a,5,6,7,8,9,9a-octahydro-3,3,5-trimethyl-9-methylene-,(4aS-cis)-",MOL010960,10960,598,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,Kaempferol 3-O-rhamnoside,MOL010961,10961,3294,
银杏叶,Yinxingye,Ginkgo Folium,止咳平喘药,Kaempferol 3-O-rhamnoside,MOL010961,10961,3294,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,kaempferol rhamnose,MOL010962,10962,3371,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,MAESANIN,MOL010964,10964,4031,1172
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,Norbergenin,MOL010965,10965,3542,
虎耳草,Huercao,Saxifraga Stolonifera,清热解毒药,Norbergenin,MOL010965,10965,3542,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,"Phthalic acid, isobutyl octyl ester",MOL010966,10966,4019,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,tri-O-methylnorbergenin,MOL010974,10974,3484,1079
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,"2,4-Dimethylpentan-2-ol",MOL010979,10979,376,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,"(7E)-9-hydroxymegastigma-4, 7-dien-3-on-9-O-beta-D-glucopyranoside",MOL010986,10986,3856,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,"3,4,5-Trimethoxybenzaldehyde",MOL010992,10992,1648,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,2-isopropyl-3-methyl-1-cyclohex-2-enone,MOL010999,10999,2873,
白花菜子,Baihuacaizi,Semen Cleomis,祛风湿散寒药,"(2R,3R)-3-(4-hydroxy-3-methoxy-phenyl)-5-methoxy-2-methylol-2,3-dihydropyrano[5,6-h][1,4]benzodioxin-9-one",MOL000011,11,2417,768
苍耳子,Cangerzi,Xanthii Fructus,辛温解表药,"(2R,3R)-3-(4-hydroxy-3-methoxy-phenyl)-5-methoxy-2-methylol-2,3-dihydropyrano[5,6-h][1,4]benzodioxin-9-one",MOL000011,11,2417,768
防风,Fangfeng,Saposhnikoviae Radix,辛温解表药,"(2R,3R)-3-(4-hydroxy-3-methoxy-phenyl)-5-methoxy-2-methylol-2,3-dihydropyrano[5,6-h][1,4]benzodioxin-9-one",MOL000011,11,2417,768
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,"5-ethoxy-2-hydroxy-3-[(8Z)-tridec-8-en-1-yl][1,4]benzoquinone",MOL011003,11003,4110,1182
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,ardisianone A,MOL011019,11019,2872,929
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,ardisianone B,MOL011020,11020,2576,828
丹参,Danshen,Radix Salviae,活血祛瘀药,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",MOL001103,1103,1776,
伸筋草,Shenjincao,Rhizome Of Whiteback Greenbrier,祛风湿散寒药,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",MOL001103,1103,1776,
没药,Moyao,Myrrha,活血祛瘀药,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",MOL001103,1103,1776,
砂仁,Sharen,Amomum Aurantiacum H. T. Tsai Et S. W. Zhao,化湿药,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",MOL001103,1103,1776,
肿节风,Zhongjiefeng,Herba Sarcandrae,清热解毒药,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",MOL001103,1103,1776,
芫荽,Yuansui,Coriandri Sativi Herba,辛温解表药,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",MOL001103,1103,1776,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",MOL001103,1103,1776,
蔓荆子,Manjingzi,Viticis Fructus,辛凉解表药,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",MOL001103,1103,1776,
青蒿,Qinghao,Artemisia Annua L.,清虚热药,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",MOL001103,1103,1776,
鹅不食草,Ebushicao,Centipedae Herba,辛温解表药,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",MOL001103,1103,1776,
麻黄,Mahuang,Ephedra Herba,辛温解表药,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",MOL001103,1103,1776,
大枣,Dazao,Jujubae Fructus,补气药,(+)-Catechin-5-O-glucoside,MOL011038,11038,3526,
白果,Baiguo,Ginkgo Semen,止咳平喘药,(+)-Catechin-5-O-glucoside,MOL011038,11038,3526,
白果,Baiguo,Ginkgo Semen,止咳平喘药,16-Propoxystrychnine,MOL011041,11041,4169,
白果,Baiguo,Ginkgo Semen,止咳平喘药,4-Methoxypyridoxine,MOL011045,11045,462,
银杏叶,Yinxingye,Ginkgo Folium,止咳平喘药,4-Methoxypyridoxine,MOL011045,11045,462,
白果,Baiguo,Ginkgo Semen,止咳平喘药,Cardiospermin_qt,MOL011056,11056,4013,
没药,Moyao,Myrrha,活血祛瘀药,ledene,MOL001106,1106,2245,
白果,Baiguo,Ginkgo Semen,止咳平喘药,"5,10-Pentadecadienoic acid, (Z,Z)-",MOL011070,11070,3250,
白果,Baiguo,Ginkgo Semen,止咳平喘药,pinol,MOL011071,11071,4024,
白果,Baiguo,Ginkgo Semen,止咳平喘药,Quinicine,MOL011072,11072,747,297
红芪,Hongqi,Hedysari Radix,补气药,(+)-Medicarpin,MOL011076,11076,873,324
红芪,Hongqi,Hedysari Radix,补气药,"methyl (Z)-3-(3,4,5-trimethoxyphenyl)prop-2-enoate",MOL011077,11077,1120,
红芪,Hongqi,Hedysari Radix,补气药,"3',7-dihydroxy-4'-methoxy-isoflavone",MOL011078,11078,572,240
红芪,Hongqi,Hedysari Radix,补气药,2-[4-(methoxymethyl)phenyl]acetic acid,MOL011079,11079,809,
桑叶,Sangye,Mori Follum,辛凉解表药,Linolenic acid methyl ester,MOL011081,11081,3820,
红芪,Hongqi,Hedysari Radix,补气药,Linolenic acid methyl ester,MOL011081,11081,3820,
黄芩,Huangqin,Scutellariae Radix,清热燥湿药,Linolenic acid methyl ester,MOL011081,11081,3820,
红芪,Hongqi,Hedysari Radix,补气药,2-methoxy-3-phenyl-chromone,MOL011083,11083,289,
佛手,Foshou,Citri Sarcodactylis Fructus,理气药,"2,3-Butanediol, meso-",MOL011087,11087,784,
华山参,Huashanshen,Physochlainae Radix,止咳平喘药,"2,3-Butanediol, meso-",MOL011087,11087,784,
华山参,Huashanshen,Physochlainae Radix,止咳平喘药,2-Nitrobenzoic acid,MOL011088,11088,2590,
华山参,Huashanshen,Physochlainae Radix,止咳平喘药,Homoveratrole,MOL011089,11089,3847,
梅花,Meihua,Mume Flos,理气药,Homoveratrole,MOL011089,11089,3847,
黄柏,Huangbo,Phellodendri Chinrnsis Cortex,清热燥湿药,Homoveratrole,MOL011089,11089,3847,
华山参,Huashanshen,Physochlainae Radix,止咳平喘药,3-Methoxy-4-propoxybenzaldehyde,MOL011090,11090,609,
华山参,Huashanshen,Physochlainae Radix,止咳平喘药,"[(1S,3S,5S,7S)-7-hydroxy-8-methyl-8-azabicyclo[3.2.1]octan-3-yl] (2S)-3-hydroxy-2-phenylpropanoate",MOL011091,11091,2922,943
华山参,Huashanshen,Physochlainae Radix,止咳平喘药,apohyoscine,MOL011092,11092,812,308
华山参,Huashanshen,Physochlainae Radix,止咳平喘药,apohyoscine,MOL011093,11093,832,315
洋金花,Yangjinhua,Daturae Flos,止咳平喘药,apohyoscine,MOL011093,11093,832,315
益母草,Yimucao,Leonuri Herba,活血祛瘀药,"quercetin,3-o-rutinoside",MOL000111,111,1749,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,"quercetin,3-o-rutinoside",MOL000111,111,1749,
积雪草,Jixuecao,Centella Asiatica (L.) Urban[Hydro-Cotyle Asiatica L.],清热解毒药,"quercetin,3-o-rutinoside",MOL000111,111,1749,
草果,Caoguo,Amomum Tsao-Ko Crevostet,化湿药,"quercetin,3-o-rutinoside",MOL000111,111,1749,
荷叶,Heye,Folium Nelumbinis,清热解毒药,"quercetin,3-o-rutinoside",MOL000111,111,1749,
金荞麦,Jinqiaomai,Rhizoma Fagopyri Cymosi,清热解毒药,"quercetin,3-o-rutinoside",MOL000111,111,1749,
蓼大青叶,Liaodaqingye,Polygoni Tinctorii Foliu,清热解毒药,Glucobrassicin_qt,MOL011102,11102,2513,
蓼大青叶,Liaodaqingye,Polygoni Tinctorii Foliu,清热解毒药,indican,MOL011105,11105,2634,853
青黛,Qingdai,Indigo Naturalis,清热解毒药,indican,MOL011105,11105,2634,853
蓼大青叶,Liaodaqingye,Polygoni Tinctorii Foliu,清热解毒药,indican_qt,MOL011106,11106,865,
青黛,Qingdai,Indigo Naturalis,清热解毒药,indican_qt,MOL011106,11106,865,
蓼大青叶,Liaodaqingye,Polygoni Tinctorii Foliu,清热解毒药,isatan B,MOL011107,11107,2224,
青黛,Qingdai,Indigo Naturalis,清热解毒药,isatan B,MOL011107,11107,2224,
蓼大青叶,Liaodaqingye,Polygoni Tinctorii Foliu,清热解毒药,Neoglucobrassicin_qt,MOL011113,11113,2310,
蓼大青叶,Liaodaqingye,Polygoni Tinctorii Foliu,清热解毒药,saponarin_qt,MOL011115,11115,4122,
了哥王根,Liaogewanggen,Wikstroemiae Indicae Rasix,清热解毒药,Thymelol,MOL011117,11117,1105,
了哥王根,Liaogewanggen,Wikstroemiae Indicae Rasix,清热解毒药,Kaempferol 3-O-.beta.-D-glucopyranoside,MOL011118,11118,3260,
了哥王根,Liaogewanggen,Wikstroemiae Indicae Rasix,清热解毒药,WIKSTROMOL,MOL011123,11123,2425,
了哥王根,Liaogewanggen,Wikstroemiae Indicae Rasix,清热解毒药,Wikstrosin,MOL011124,11124,1807,538
没药,Moyao,Myrrha,活血祛瘀药,α-thujone,MOL001113,1113,3233,
灵芝,Lingzhi,Ganoderma,补气药,"1,8-Cineole",MOL011132,11132,4090,
灵芝,Lingzhi,Ganoderma,补气药,beta-Bazzanene,MOL011149,11149,475,
厚朴,Houpu,Magnolia Officinalis Rehd Et Wils．,化湿药,cis-Verbenol,MOL001115,1115,1661,
没药,Moyao,Myrrha,活血祛瘀药,cis-Verbenol,MOL001115,1115,1661,
鹅不食草,Ebushicao,Centipedae Herba,辛温解表药,cis-Verbenol,MOL001115,1115,1661,
灵芝,Lingzhi,Ganoderma,补气药,beta-Irone,MOL011150,11150,4014,
灵芝,Lingzhi,Ganoderma,补气药,Daucene,MOL011155,11155,488,
没药,Moyao,Myrrha,活血祛瘀药,"p-mentha-1,5-dien-8-ol",MOL001117,1117,3770,
益母草,Yimucao,Leonuri Herba,活血祛瘀药,quercetin-3-o-galactopyranoside,MOL000112,112,1088,
草果,Caoguo,Amomum Tsao-Ko Crevostet,化湿药,quercetin-3-o-galactopyranoside,MOL000112,112,1088,
荷叶,Heye,Folium Nelumbinis,清热解毒药,quercetin-3-o-galactopyranoside,MOL000112,112,1088,
青蒿,Qinghao,Artemisia Annua L.,清虚热药,quercetin-3-o-galactopyranoside,MOL000112,112,1088,
一枝黄花,Yizhihuanghua,Solidaginis Herba,辛凉解表药,muurolene,MOL001123,1123,1205,
丁香,Dingxiang,Caryophylliflos,温里药,muurolene,MOL001123,1123,1205,
伸筋草,Shenjincao,Rhizome Of Whiteback Greenbrier,祛风湿散寒药,muurolene,MOL001123,1123,1205,
厚朴,Houpu,Magnolia Officinalis Rehd Et Wils．,化湿药,muurolene,MOL001123,1123,1205,
吴茱萸,Wuzhuyu,Evodiae Fructus,温里药,muurolene,MOL001123,1123,1205,
木棉花,Mumianhua,Gossampiniflos,拔毒化腐生肌药,muurolene,MOL001123,1123,1205,
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,muurolene,MOL001123,1123,1205,
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,muurolene,MOL001123,1123,1205,
没药,Moyao,Myrrha,活血祛瘀药,muurolene,MOL001123,1123,1205,
满山红,Manshanhong,Rhododendri Daurici Folium,止咳平喘药,muurolene,MOL001123,1123,1205,
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,muurolene,MOL001123,1123,1205,
白芷,Baizhi,A. Dahurica (Fisch.) Benth. Et Hook,辛温解表药,muurolene,MOL001123,1123,1205,
紫苏,Zisu,Perilla Frutescens,辛温解表药,muurolene,MOL001123,1123,1205,
细辛,Xixin,Asari Radix Et Rhizoma,辛温解表药,muurolene,MOL001123,1123,1205,
羌活,Qianghuo,Notopterygii Rhizoma Et Radix,辛温解表药,muurolene,MOL001123,1123,1205,
肉桂,Rougui,Cinnanmomi Cortex,温里药,muurolene,MOL001123,1123,1205,
苍耳子,Cangerzi,Xanthii Fructus,辛温解表药,muurolene,MOL001123,1123,1205,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,muurolene,MOL001123,1123,1205,
蔓荆子,Manjingzi,Viticis Fructus,辛凉解表药,muurolene,MOL001123,1123,1205,
蛇床子,Shechuangzi,Cnidii Fructus,解毒杀虫燥湿止痒药,muurolene,MOL001123,1123,1205,
西河柳,Xiheliu,Tamaricis Cacumen,辛温解表药,muurolene,MOL001123,1123,1205,
辛夷,Xinyi,Magnoliae Flos,辛温解表药,muurolene,MOL001123,1123,1205,
金银花,Jinyinhua,Lonicerae Japonicae Flos,清热解毒药,muurolene,MOL001123,1123,1205,
防己,Fangji,Stephaniae Tetrandrae Radix,祛风湿清热药,muurolene,MOL001123,1123,1205,
防风,Fangfeng,Saposhnikoviae Radix,辛温解表药,muurolene,MOL001123,1123,1205,
香薷,Xiangru,Moslae Herba,辛温解表药,muurolene,MOL001123,1123,1205,
香附,Xiangfu,Cyperi Rhizoma,理气药,muurolene,MOL001123,1123,1205,
高良姜,Gaoliangjiang,Alpiniae Officinarum Rhizome,温里药,muurolene,MOL001123,1123,1205,
鹅不食草,Ebushicao,Centipedae Herba,辛温解表药,muurolene,MOL001123,1123,1205,
没药,Moyao,Myrrha,活血祛瘀药,erlangerin B,MOL001125,1125,3495,
没药,Moyao,Myrrha,活血祛瘀药,"[(5aS,8aR,9R)-8-oxo-9-(3,4,5-trimethoxyphenyl)-5,5a,6,9-tetrahydroisobenzofurano[6,5-f][1,3]benzodioxol-8a-yl] acetate",MOL001126,1126,1313,442
灵芝,Lingzhi,Ganoderma,补气药,GCS,MOL011260,11260,1429,
荠菜,Jicai,Capsellae Herba,利水渗湿药,GCS,MOL011260,11260,1429,
没药,Moyao,Myrrha,活血祛瘀药,erlangerin D,MOL001127,1127,1606,
没药,Moyao,Myrrha,活血祛瘀药,7-O-methylaloeresin A,MOL001128,1128,2117,
丁香,Dingxiang,Caryophylliflos,温里药,l-Verbenone,MOL001129,1129,1928,
枇杷叶,Pipaye,Eriobotryae Folium,止咳平喘药,l-Verbenone,MOL001129,1129,1928,
没药,Moyao,Myrrha,活血祛瘀药,l-Verbenone,MOL001129,1129,1928,
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,l-Verbenone,MOL001129,1129,1928,
紫苏,Zisu,Perilla Frutescens,辛温解表药,l-Verbenone,MOL001129,1129,1928,
红花,Honghua,Carthami Flos,活血祛瘀药,l-Verbenone,MOL001129,1129,1928,
细辛,Xixin,Asari Radix Et Rhizoma,辛温解表药,l-Verbenone,MOL001129,1129,1928,
艾叶,Aiye,Folium Artemisiae Argyi,温经止血药,l-Verbenone,MOL001129,1129,1928,
芫荽,Yuansui,Coriandri Sativi Herba,辛温解表药,l-Verbenone,MOL001129,1129,1928,
苍耳子,Cangerzi,Xanthii Fructus,辛温解表药,l-Verbenone,MOL001129,1129,1928,
荆芥,Jingjie,Schizonepetae Herba,辛温解表药,l-Verbenone,MOL001129,1129,1928,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,l-Verbenone,MOL001129,1129,1928,
藁本,Gaoben,Ligustici Rhizoma Et Radix,辛温解表药,l-Verbenone,MOL001129,1129,1928,
防风,Fangfeng,Saposhnikoviae Radix,辛温解表药,l-Verbenone,MOL001129,1129,1928,
马鞭草,Mabiancao,Verbenae Herb,活血祛瘀药,l-Verbenone,MOL001129,1129,1928,
麻黄,Mahuang,Ephedra Herba,辛温解表药,l-Verbenone,MOL001129,1129,1928,
关黄柏,Guanhuangbo,Phellodendri Amurensis Cortex,清热燥湿药,Fellavine,MOL001130,1130,3866,
没药,Moyao,Myrrha,活血祛瘀药,Fellavine,MOL001130,1130,3866,
关黄柏,Guanhuangbo,Phellodendri Amurensis Cortex,清热燥湿药,phellamurin_qt,MOL001131,1131,2226,688
没药,Moyao,Myrrha,活血祛瘀药,phellamurin_qt,MOL001131,1131,2226,688
黄柏,Huangbo,Phellodendri Chinrnsis Cortex,清热燥湿药,phellamurin_qt,MOL001131,1131,2226,688
猫爪草,Maozhaocao,Ranunculi Ternati Radix,清热解毒药,"(5S,8S,9S,10R,13R,14R,17S)-17-ethyl-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthrene",MOL011313,11313,1922,
猫爪草,Maozhaocao,Ranunculi Ternati Radix,清热解毒药,Etilevodopa,MOL011315,11315,2501,
猫爪草,Maozhaocao,Ranunculi Ternati Radix,清热解毒药,"5-Hydroxymethyl-2-furoic acid, monoTMS",MOL011317,11317,3452,
猫爪草,Maozhaocao,Ranunculi Ternati Radix,清热解毒药,Truflex OBP,MOL011319,11319,4026,1171
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,Truflex OBP,MOL011319,11319,4026,1171
葱白,Congbai,Allii Fistulost Bulbus,辛温解表药,Truflex OBP,MOL011319,11319,4026,1171
麻黄,Mahuang,Ephedra Herba,辛温解表药,Truflex OBP,MOL011319,11319,4026,1171
倒扣草,Daokoucao,Achyranthis Asperae Herba,活血祛瘀药,longipinene,MOL001132,1132,4015,
没药,Moyao,Myrrha,活血祛瘀药,longipinene,MOL001132,1132,4015,
矮地茶,Aidicha,Ardisiae Japonicae Herba,止咳平喘药,longipinene,MOL001132,1132,4015,
苏合香,Suhexiang,Styrax,开窍药,longipinene,MOL001132,1132,4015,
黄芩,Huangqin,Scutellariae Radix,清热燥湿药,longipinene,MOL001132,1132,4015,
猫爪草,Maozhaocao,Ranunculi Ternati Radix,清热解毒药,L-Pantolactone,MOL011326,11326,3593,
青黛,Qingdai,Indigo Naturalis,清热解毒药,(+)-isolariciresinol,MOL011331,11331,1388,
青黛,Qingdai,Indigo Naturalis,清热解毒药,"10h-indolo,[3,2-b],quinoline",MOL011332,11332,3014,965
青黛,Qingdai,Indigo Naturalis,清热解毒药,"2,3-dihydropyrrolo,[2,1-b],quinazolin-9(1h)-one",MOL011333,11333,1235,
青黛,Qingdai,Indigo Naturalis,清热解毒药,"4,(3h)-quinazolinone",MOL011334,11334,3461,
青黛,Qingdai,Indigo Naturalis,清热解毒药,Isoindigo,MOL011335,11335,2992,959
青黛,Qingdai,Indigo Naturalis,清热解毒药,Saponarin,MOL011337,11337,4093,
龙胆,Longdan,Gentianae Radix Et Rhozima,清热燥湿药,Saponarin,MOL011337,11337,4093,
天葵子,Tiankuizi,Semiaquilegiae Radix,清热解毒药,"4,4'-tetrahydro-1H,3H-furo[3,4-c]furan-1,4-diylbis(2-methoxyphenol)",MOL011338,11338,2261,
天葵子,Tiankuizi,Semiaquilegiae Radix,清热解毒药,"(1R,2R)-bis((S)-2-ethylhexyl) cyclohexane-1,2-dicarboxylate",MOL011340,11340,3904,
天葵子,Tiankuizi,Semiaquilegiae Radix,清热解毒药,"2-(2,3,4-trihydroxyphenyl)acetonitrile",MOL011349,11349,2126,
天葵子,Tiankuizi,Semiaquilegiae Radix,清热解毒药,4-hydroxy-2-β-D-glucopyranosyl oxypheylacetonitrile_qt,MOL011353,11353,2093,
天葵子,Tiankuizi,Semiaquilegiae Radix,清热解毒药,"2-propenoic acid,3-(4'-hydroxyphenyl)-(4-carboxyl)-phenyl ester",MOL011356,11356,3041,975
天葵子,Tiankuizi,Semiaquilegiae Radix,清热解毒药,Ethyl vanillate,MOL011357,11357,768,
没药,Moyao,Myrrha,活血祛瘀药,"1,2-epoxyfurano-10(15)-germacren-6-one",MOL001136,1136,3807,
天葵子,Tiankuizi,Semiaquilegiae Radix,清热解毒药,DIBUTYL TEREPHTHALATE,MOL011366,11366,3853,
天葵子,Tiankuizi,Semiaquilegiae Radix,清热解毒药,methyl 3-hydroxy-4-methoxybenzoate,MOL011373,11373,1554,
半边莲,Banbianlian,Lobeliae Chinensis Herba,清热解毒药,n-butyl-α-D-fructopyranoside,MOL011375,11375,2907,
天葵子,Tiankuizi,Semiaquilegiae Radix,清热解毒药,n-butyl-α-D-fructopyranoside,MOL011375,11375,2907,
天葵子,Tiankuizi,Semiaquilegiae Radix,清热解毒药,semiaquilegine A,MOL011376,11376,2491,
天葵子,Tiankuizi,Semiaquilegiae Radix,清热解毒药,semiaquilegoside A_qt,MOL011378,11378,3614,
没药,Moyao,Myrrha,活血祛瘀药,"(3R,20S)-3,20-dihydroxydammar- 24-ene",MOL001138,1138,1605,496
西洋参,Xiyangshen,Panacis Quinquefolii Radix,补气药,"heptadeca-1,8-dien-4,6-diyn-3,10-diol",MOL011387,11387,3949,
防风,Fangfeng,Saposhnikoviae Radix,辛温解表药,"heptadeca-1,8-dien-4,6-diyn-3,10-diol",MOL011387,11387,3949,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,Chrysosplenetin,MOL011388,11388,517,
西洋参,Xiyangshen,Panacis Quinquefolii Radix,补气药,Chrysosplenetin,MOL011388,11388,517,
云芝,Yunzhi,Coriolus,拔毒化腐生肌药,vanillic acid,MOL000114,114,3122,
佛手,Foshou,Citri Sarcodactylis Fructus,理气药,vanillic acid,MOL000114,114,3122,
八角莲,Bajiaolian,Dysosmae Verspiellis Rhixoma Et Radix,清热解毒药,vanillic acid,MOL000114,114,3122,
凤仙透骨草,Fengxiantougucao,Impatiens Balsamina,祛风湿散寒药,vanillic acid,MOL000114,114,3122,
前胡,Qianhu,Peucedani Radix,化痰药,vanillic acid,MOL000114,114,3122,
功劳木,Gonglaomu,Mahoniae Caulis,清热解毒药,vanillic acid,MOL000114,114,3122,
北沙参,Beishashen,Glehniae Radix,补阴药,vanillic acid,MOL000114,114,3122,
半夏,Banxia,Arum Ternatum Thunb.,化痰药,vanillic acid,MOL000114,114,3122,
半枝莲,Banzhilian,Scutellariae Barbatae Herba,清热解毒药,vanillic acid,MOL000114,114,3122,
南蛇藤果,Nanshetengguo,Celastri Orbiculati Fructus,安神药,vanillic acid,MOL000114,114,3122,
卷柏,Juanbai,Herba Selaginellae Moellendorfii,化瘀止血药,vanillic acid,MOL000114,114,3122,
土荆皮,Tujingpi,Pseudolaricis Cortex,解毒杀虫燥湿止痒药,vanillic acid,MOL000114,114,3122,
地耳草,Diercao,Hyperici Japonici Herber,利水渗湿药,vanillic acid,MOL000114,114,3122,
大血藤,Daxueteng,Sargentodoxae Caulis,清热解毒药,vanillic acid,MOL000114,114,3122,
天葵子,Tiankuizi,Semiaquilegiae Radix,清热解毒药,vanillic acid,MOL000114,114,3122,
威灵仙,Weilingxian,Radix Clematidis,祛风湿散寒药,vanillic acid,MOL000114,114,3122,
安息香,Anxixiang,Benzoinum,开窍药,vanillic acid,MOL000114,114,3122,
密蒙花,Mimenghua,Buddlejae Flos,清热泻火药,vanillic acid,MOL000114,114,3122,
寻骨风,Xungufeng,Rhizoma Seu Herba Aristolochiae Mollissimae,祛风湿散寒药,vanillic acid,MOL000114,114,3122,
山豆根,Shandougen,Sophorae Tonkinensis Radix Et Rhizome,清热解毒药,vanillic acid,MOL000114,114,3122,
川芎,Chuanxiong,Chuanxiong Rhizoma,活血祛瘀药,vanillic acid,MOL000114,114,3122,
广枣,Guangzao,Choerospondiatis Fructus,活血祛瘀药,vanillic acid,MOL000114,114,3122,
延胡索,Yanhusuo,Corydalis Rhizoma,理气药,vanillic acid,MOL000114,114,3122,
月季花,Yuejihua,Mori Cortex,活血祛瘀药,vanillic acid,MOL000114,114,3122,
木贼,Muzei,Equiseti Hiemalis Herba,辛凉解表药,vanillic acid,MOL000114,114,3122,
木通,Mutong,Caulis Akebiae,利水渗湿药,vanillic acid,MOL000114,114,3122,
杜仲,Duzhong,Eucommiae Cortex,补阳药,vanillic acid,MOL000114,114,3122,
枳椇子,Zhijuzi,Hoveniae Dulcis Semen,利水渗湿药,vanillic acid,MOL000114,114,3122,
桑叶,Sangye,Mori Follum,辛凉解表药,vanillic acid,MOL000114,114,3122,
桑白皮,Sangbaipi,Mori Cortex,止咳平喘药,vanillic acid,MOL000114,114,3122,
水红花子,Shuihonghuazi,Polygoni Orientalis Fructus,活血祛瘀药,vanillic acid,MOL000114,114,3122,
海金沙,Haijinsha,Lygodii Spora,利水渗湿药,vanillic acid,MOL000114,114,3122,
满山红,Manshanhong,Rhododendri Daurici Folium,止咳平喘药,vanillic acid,MOL000114,114,3122,
牡丹皮,Mudanpi,Cortex Moutan,清热凉血药,vanillic acid,MOL000114,114,3122,
牡荆子,Mujingzi,Viticis Cannabifoliae Fructus,止咳平喘药,vanillic acid,MOL000114,114,3122,
猕猴桃根,Mihoutaogen,Actinidia Chinensis Planch,清热解毒药,vanillic acid,MOL000114,114,3122,
玄参,Xuanshen,Figwort Root,清热凉血药,vanillic acid,MOL000114,114,3122,
玉米须,Yumixu,Maydis Seigma,利水渗湿药,vanillic acid,MOL000114,114,3122,
瓜蒌,Gualou,Trichosanthes Kirilowii Maxim,化痰药,vanillic acid,MOL000114,114,3122,
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,vanillic acid,MOL000114,114,3122,
白毛藤,Baimaoteng,Herba Solani Lyrati,清热解毒药,vanillic acid,MOL000114,114,3122,
白茅根,Baimaogen,Imperatae Rhizoma,凉血止血药,vanillic acid,MOL000114,114,3122,
百部,Baibu,Stemonae Radix,止咳平喘药,vanillic acid,MOL000114,114,3122,
石菖蒲,Shichangpu,Acoritataninowii Rhizoma,开窍药,vanillic acid,MOL000114,114,3122,
石韦,Shiwei,Pyrrosiae Folium,利水渗湿药,vanillic acid,MOL000114,114,3122,
砂仁,Sharen,Amomum Aurantiacum H. T. Tsai Et S. W. Zhao,化湿药,vanillic acid,MOL000114,114,3122,
红芪,Hongqi,Hedysari Radix,补气药,vanillic acid,MOL000114,114,3122,
罗汉果,Luohanguo,Momordicae Fructus,化痰药,vanillic acid,MOL000114,114,3122,
羌活,Qianghuo,Notopterygii Rhizoma Et Radix,辛温解表药,vanillic acid,MOL000114,114,3122,
肿节风,Zhongjiefeng,Herba Sarcandrae,清热解毒药,vanillic acid,MOL000114,114,3122,
