中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,
白芷,Baizhi,A. Dahurica (Fisch.) Benth. Et Hook,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,
罗汉果,Luohanguo,Momordicae Fructus,化痰药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,
羌活,Qianghuo,Notopterygii Rhizoma Et Radix,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,
菊花,Juhua,Chrysanthemi Flos,辛凉解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,
西河柳,Xiheliu,Tamaricis Cacumen,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,
辛夷,Xinyi,Magnoliae Flos,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,
防风,Fangfeng,Saposhnikoviae Radix,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,
罗汉果,Luohanguo,Momordicae Fructus,化痰药,ZINC04023242,MOL010122,10122,1690,
