中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名,TCMSP靶点Gene Symbol,TCMSP靶点名称,target_ID,DrugBank内部ID,SVM_score,RF_score,边平均分,TCMSP靶点UniProt标准Gene Symbol,TCMSP靶点UniProt编号
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,Tussilagine,MOL010026,10026,322,,GABRA5,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523,0.92831,0.742,0.835155,GABRA5,P31644
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,tussilagin,MOL010028,10028,3805,1132,PTGS2,Prostaglandin G/H synthase 2,94,290,0.877327,0.7,0.7886635,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,3-(2-propenyl)-cyclooctene,MOL010032,10032,1654,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.888905,0.7,0.7944525,CHRM2,P08172
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,3-(2-propenyl)-cyclooctene,MOL010032,10032,1654,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.938939,0.71,0.8244695,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,"3,7,11-Trimethyl-dodeca-2,4,6,10-tetraenal",MOL010034,10034,2985,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.904961,0.754,0.8294805,PTGS2,P35354
款冬花,Kuandonghua,Farfarae Flos,止咳平喘药,"6,6-dimethyl-2-methylene-7-(3-oxobutylidene)oxepan-3-ylmethyl acetic acid ester",MOL010036,10036,3056,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.879068,0.774,0.826534,PTGS2,P35354
伊贝母,Yibeimu,Fritillariae Pallidiflorae Bulbus,化痰药,pelargonidin,MOL001004,1004,1195,400,ACHE,Acetylcholinesterase,165,474,0.880191,0.728,0.8040955,ACHE,P22303
伊贝母,Yibeimu,Fritillariae Pallidiflorae Bulbus,化痰药,pelargonidin,MOL001004,1004,1195,400,PTGS2,Prostaglandin G/H synthase 2,94,290,0.93241,0.83,0.881205,PTGS2,P35354
凤仙透骨草,Fengxiantougucao,Impatiens Balsamina,祛风湿散寒药,pelargonidin,MOL001004,1004,1195,400,ACHE,Acetylcholinesterase,165,474,0.880191,0.728,0.8040955,ACHE,P22303
凤仙透骨草,Fengxiantougucao,Impatiens Balsamina,祛风湿散寒药,pelargonidin,MOL001004,1004,1195,400,PTGS2,Prostaglandin G/H synthase 2,94,290,0.93241,0.83,0.881205,PTGS2,P35354
平贝母,Pingbeimu,Fritillariaeussuriensis Bulbus,化痰药,pelargonidin,MOL001004,1004,1195,400,ACHE,Acetylcholinesterase,165,474,0.880191,0.728,0.8040955,ACHE,P22303
