原始行号（去重映射）,molecule_ID,SMILES,STP查询编号,预测状态,去重预测靶点数,Swiss Top1靶点名称,Swiss Top1 Gene Symbol,Swiss Top1概率,STP Job ID,Swiss查询网站,备注,TCMSP MOL_ID,中药小分子,小分子全量排名,小分子严格排名,molecule_ID连接状态
323,10026,COC(=O)[C@H]1[C@@H]2CCCN2C[C@@]1(C)O,STP00322,成功（100条，已去重）,100,Muscarinic acetylcholine receptor M4,CHRM4,0.8539425729618346,759732878,https://www.swisstargetprediction.ch/result.php?job=759732878&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010026,Tussilagine,322,,molecule_ID精确匹配
3806,10028,C=C1[C@H]2CC(=O)[C@H]([C@@H](C)OC(C)=O)[C@H]2[C@H](C(C)C)C[C@H]1OC(=O)/C=C(\C)CC,STP03800,成功（100条，已去重）,100,Peroxisome proliferator-activated receptor gamma,PPARG,0.7863412989133652,1734979288,https://www.swisstargetprediction.ch/result.php?job=1734979288&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010028,tussilagin,3805,1132,molecule_ID精确匹配
1655,10032,C=CC[C@H]1/C=C\CCCCC1,STP01651,成功（100条，已去重）,100,Peroxisome proliferator-activated receptor alpha,PPARA,0.8592239610946315,265141543,https://www.swisstargetprediction.ch/result.php?job=265141543&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010032,3-(2-propenyl)-cyclooctene,1654,,molecule_ID精确匹配
2986,10034,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=O,STP02981,成功（100条，已去重）,100,Nuclear receptor subfamily 2 group E member 1,NR2E1,0.697300133979236,1369352035,https://www.swisstargetprediction.ch/result.php?job=1369352035&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010034,"3,7,11-Trimethyl-dodeca-2,4,6,10-tetraenal",2985,,molecule_ID精确匹配
3057,10036,C=C1O/C(=C\CC(C)=O)C(C)(C)CC[C@H]1COC(C)=O,STP03052,成功（100条，已去重）,100,Aromatase,CYP19A1,0.2650179558999763,63254276,https://www.swisstargetprediction.ch/result.php?job=63254276&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010036,"6,6-dimethyl-2-methylene-7-(3-oxobutylidene)oxepan-3-ylmethyl acetic acid ester",3056,,molecule_ID精确匹配
1196,1004,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc1,STP01194,成功（100条，已去重）,100,Dipeptidyl peptidase 4,DPP4,0.9294235591268136,646020829,https://www.swisstargetprediction.ch/result.php?job=646020829&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL001004,pelargonidin,1195,400,molecule_ID精确匹配
929,10044,CC1=CC[C@@]2(C)CC[C@H](C(C)C)[C@@]2(O)CC1,STP00928,成功（100条，已去重）,100,Neuronal acetylcholine receptor subunit alpha-7,CHRNA7,0.9030082084568384,1901434016,https://www.swisstargetprediction.ch/result.php?job=1901434016&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010044,C09628,928,,molecule_ID精确匹配
857,10051,Cc1cc2c(C)coc2c2c1CCC[C@H]2C,STP00856,成功（100条，已去重）,100,Muscarinic acetylcholine receptor M3,CHRM3,0.3211334171783235,81740353,https://www.swisstargetprediction.ch/result.php?job=81740353&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010051,farfugin A,856,,molecule_ID精确匹配
2834,10052,C=C[C@]1(C)CCC(=C(C)C)C[C@]1(C)C(=C)C,STP02829,成功（100条，已去重）,100,Tyrosine-protein phosphatase non-receptor type 1,PTPN1,0.9085117649402188,1521774807,https://www.swisstargetprediction.ch/result.php?job=1521774807&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010052,gamma-elemene,2833,,molecule_ID精确匹配
3257,10054,O=c1c(O[C@@H]2OC[C@@H](O)[C@@H](O)[C@@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,STP03251,成功（100条，已去重）,100,Acetylcholinesterase,ACHE,0.9963895609364622,252556902,https://www.swisstargetprediction.ch/result.php?job=252556902&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010054,kaempferol-3-arabinoside,3256,,molecule_ID精确匹配
2659,10055,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,STP02654,成功（100条，已去重）,100,"Cytochrome P450 11B2, mitochondrial",CYP11B2,1.0,1098039125,https://www.swisstargetprediction.ch/result.php?job=1098039125&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010055,Femara,2658,863,molecule_ID精确匹配
3068,10058,COC(=O)[C@]1(O)C[C@@H](O)[C@H](O)[C@H](OC(=O)/C=C\c2ccc(O)c(O)c2)C1,STP03063,成功（100条，已去重）,100,Tyrosine-protein phosphatase non-receptor type 1,PTPN1,0.9947168132619196,1863176782,https://www.swisstargetprediction.ch/result.php?job=1863176782&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010058,methyl 3-o-caffeoylquinate,3067,979,molecule_ID精确匹配
1860,10080,CCCCOC(=O)c1ccccc1C(=O)OCC(C)C,STP01855,成功（100条，已去重）,100,Protein kinase C alpha type,PRKCA,0.602052678509203,1562622689,https://www.swisstargetprediction.ch/result.php?job=1562622689&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010080,BUTYL ISOBUTYL PHTHALATE,1859,,molecule_ID精确匹配
2735,10099,COc1cc(C=O)cc2c1OCO2,STP02730,成功（100条，已去重）,100,"Carbonic anhydrase 5A, mitochondrial",CA5A,0.2400625916358713,1127313736,https://www.swisstargetprediction.ch/result.php?job=1127313736&organism=Homo_sapiens,SwissTargetPrediction 官网结果；同一小分子-靶点仅保留一条；失败查询已剔除；未补写预测靶点,MOL010099,Myristicin aldehyde,2734,,molecule_ID精确匹配
