原始行号（去重映射）,molecule_ID,SMILES,STP查询编号,预测状态,去重预测靶点数,中药数,TCMSP_MOL_ID数,分子名称数,molecule_ID连接状态,SMILES审计
3068,10058,COC(=O)[C@]1(O)C[C@@H](O)[C@H](O)[C@H](OC(=O)/C=C\c2ccc(O)c(O)c2)C1,STP03063,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1860,10080,CCCCOC(=O)c1ccccc1C(=O)OCC(C)C,STP01855,成功（100条，已去重）,100,3.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2735,10099,COc1cc(C=O)cc2c1OCO2,STP02730,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3880,10114,c1ccc(COCc2ccccc2)cc1,STP03874,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
289,10115,C/C=C/C(=O)C1=C(C)CCCC1(C)C,STP00288,成功（100条，已去重）,100,3.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
4147,10119,CCCCOC(=O)CCC,STP04140,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3265,1012,CC1(C)C(=O)CC[C@]2(C)[C@H]3CC[C@@H]4C=CC[C@@]4(C)[C@]3(C)CC[C@@H]12,STP03259,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
88,10120,CC1=C[C@H]2[C@H](C(C)C)CC[C@@H](C)[C@]2(O)CC1,STP00087,成功（100条，已去重）,100,10.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1691,10122,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C1=O,STP01687,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1697,10123,CC[C@@H](C)OC(C)=O,STP01693,成功（100条，已去重）,100,3.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3832,10129,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)cc4)oc3c2)[C@@H](O)[C@H](O)[C@H]1O,STP03826,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
